Name,Tag,File,File Name,Long Name
 nuxt opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_nuxt_opened.svg,folder_type_nuxt_opened.svg,folder type nuxt opened
 mysql opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_mysql_opened.svg,folder_type_mysql_opened.svg,folder type mysql opened
 gcp,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_gcp.svg,folder_type_gcp.svg,folder type gcp
 racket,File Format,https://wentin.github.io/vscode-icons/icons/file_type_racket.svg,file_type_racket.svg,file type racket
 mock opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_mock_opened.svg,folder_type_mock_opened.svg,folder type mock opened
 include opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_include_opened.svg,folder_type_include_opened.svg,folder type include opened
 elasticbeanstalk,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_elasticbeanstalk.svg,folder_type_elasticbeanstalk.svg,folder type elasticbeanstalk
 stylelint,File Format,https://wentin.github.io/vscode-icons/icons/file_type_stylelint.svg,file_type_stylelint.svg,file type stylelint
 model opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_model_opened.svg,folder_type_model_opened.svg,folder type model opened
 cubit opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_cubit_opened.svg,folder_type_cubit_opened.svg,folder type cubit opened
 phpcsfixer,File Format,https://wentin.github.io/vscode-icons/icons/file_type_phpcsfixer.svg,file_type_phpcsfixer.svg,file type phpcsfixer
 stylish haskell,File Format,https://wentin.github.io/vscode-icons/icons/file_type_stylish_haskell.svg,file_type_stylish_haskell.svg,file type stylish haskell
 notification,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_notification.svg,folder_type_notification.svg,folder type notification
 njsproj,File Format,https://wentin.github.io/vscode-icons/icons/file_type_njsproj.svg,file_type_njsproj.svg,file type njsproj
 tera,File Format,https://wentin.github.io/vscode-icons/icons/file_type_tera.svg,file_type_tera.svg,file type tera
 library,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_library.svg,folder_type_library.svg,folder type library
 redis,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_redis.svg,folder_type_redis.svg,folder type redis
 vscode2,File Format,https://wentin.github.io/vscode-icons/icons/file_type_vscode2.svg,file_type_vscode2.svg,file type vscode2
 outlook,File Format,https://wentin.github.io/vscode-icons/icons/file_type_outlook.svg,file_type_outlook.svg,file type outlook
 aws opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_aws_opened.svg,folder_type_aws_opened.svg,folder type aws opened
 azure opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_azure_opened.svg,folder_type_azure_opened.svg,folder type azure opened
 bower,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_bower.svg,folder_type_bower.svg,folder type bower
 testts,File Format,https://wentin.github.io/vscode-icons/icons/file_type_testts.svg,file_type_testts.svg,file type testts
 next opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_next_opened.svg,folder_type_next_opened.svg,folder type next opened
 vash,File Format,https://wentin.github.io/vscode-icons/icons/file_type_vash.svg,file_type_vash.svg,file type vash
 python,File Format,https://wentin.github.io/vscode-icons/icons/file_type_python.svg,file_type_python.svg,file type python
 python,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_python.svg,folder_type_python.svg,folder type python
 e2e,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_e2e.svg,folder_type_e2e.svg,folder type e2e
 sequelize,File Format,https://wentin.github.io/vscode-icons/icons/file_type_sequelize.svg,file_type_sequelize.svg,file type sequelize
 rubocop,File Format,https://wentin.github.io/vscode-icons/icons/file_type_rubocop.svg,file_type_rubocop.svg,file type rubocop
 plugin opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_plugin_opened.svg,folder_type_plugin_opened.svg,folder type plugin opened
 phraseapp,File Format,https://wentin.github.io/vscode-icons/icons/file_type_phraseapp.svg,file_type_phraseapp.svg,file type phraseapp
 asset,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_asset.svg,folder_type_asset.svg,folder type asset
 component,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_component.svg,folder_type_component.svg,folder type component
 images,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_images.svg,folder_type_images.svg,folder type images
 light mysql opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_light_mysql_opened.svg,folder_type_light_mysql_opened.svg,folder type light mysql opened
 paket opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_paket_opened.svg,folder_type_paket_opened.svg,folder type paket opened
 cypress opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_cypress_opened.svg,folder_type_cypress_opened.svg,folder type cypress opened
 bower opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_bower_opened.svg,folder_type_bower_opened.svg,folder type bower opened
 quasar,File Format,https://wentin.github.io/vscode-icons/icons/file_type_quasar.svg,file_type_quasar.svg,file type quasar
 module opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_module_opened.svg,folder_type_module_opened.svg,folder type module opened
 light redux opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_light_redux_opened.svg,folder_type_light_redux_opened.svg,folder type light redux opened
 python opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_python_opened.svg,folder_type_python_opened.svg,folder type python opened
 cli opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_cli_opened.svg,folder_type_cli_opened.svg,folder type cli opened
 nsi,File Format,https://wentin.github.io/vscode-icons/icons/file_type_nsi.svg,file_type_nsi.svg,file type nsi
 mongodb opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_mongodb_opened.svg,folder_type_mongodb_opened.svg,folder type mongodb opened
 pip,File Format,https://wentin.github.io/vscode-icons/icons/file_type_pip.svg,file_type_pip.svg,file type pip
 xcode,File Format,https://wentin.github.io/vscode-icons/icons/file_type_xcode.svg,file_type_xcode.svg,file type xcode
 typescriptdef official,File Format,https://wentin.github.io/vscode-icons/icons/file_type_typescriptdef_official.svg,file_type_typescriptdef_official.svg,file type typescriptdef official
 public,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_public.svg,folder_type_public.svg,folder type public
 yaml,File Format,https://wentin.github.io/vscode-icons/icons/file_type_yaml.svg,file_type_yaml.svg,file type yaml
 aurelia opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_aurelia_opened.svg,folder_type_aurelia_opened.svg,folder type aurelia opened
 powerpoint2,File Format,https://wentin.github.io/vscode-icons/icons/file_type_powerpoint2.svg,file_type_powerpoint2.svg,file type powerpoint2
 config,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_config.svg,folder_type_config.svg,folder type config
 plugin,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_plugin.svg,folder_type_plugin.svg,folder type plugin
 docs opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_docs_opened.svg,folder_type_docs_opened.svg,folder type docs opened
 perl,File Format,https://wentin.github.io/vscode-icons/icons/file_type_perl.svg,file_type_perl.svg,file type perl
 typo3,File Format,https://wentin.github.io/vscode-icons/icons/file_type_typo3.svg,file_type_typo3.svg,file type typo3
 paket,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_paket.svg,folder_type_paket.svg,folder type paket
 yamllint,File Format,https://wentin.github.io/vscode-icons/icons/file_type_yamllint.svg,file_type_yamllint.svg,file type yamllint
